time     bus 17  bus 13  bus 19  
3417       D      .      .      
3418       .      .      .      
3419       .      D      .      
3420       .      .      D      
3421       .      .      .      
3422       .      .      .      
3423       .      .      .      
3424       .      .      .      
3425       .      .      .      
3426       .      .      .      
3427       .      .      .      
3428       .      .      .      
3429       .      .      .      
3430       .      .      .      
3431       .      .      .      
3432       .      D      .      
3433       .      .      .      
3434       D      .      .      
